orden_tabla,variable,bloque_tematico
1,codigo,Identificacion territorial
2,nombre,Identificacion territorial
3,Calificaciones urbanisticas [n],"Vivienda, urbanismo y entorno construido"
4,Paradas EMT [n],"Movilidad, seguridad y convivencia"
5,viviendas_protección_pública,"Vivienda, urbanismo y entorno construido"
6,% Habitatges amb valor cadastral major de 48.000 euros [2025],"Economia, renta y vulnerabilidad material"
7,% Habitatges amb valor cadastral menor de 18.000 euros [2025],"Economia, renta y vulnerabilidad material"
8,% Participació a les Eleccions Autonòmiques [2023],Demografia y estructura social
9,% Participació a les Eleccions Europees [2024],Demografia y estructura social
10,% Participació a les Eleccions Generals [2023],Demografia y estructura social
11,% Participació a les Eleccions Locals [2023],Demografia y estructura social
12,Activitats a l'Impost d'Activitats Econòmiques [2025],"Economia, renta y vulnerabilidad material"
13,Activitats econòmiques per 1.000 habitants [2025],"Economia, renta y vulnerabilidad material"
14,Creixement vegetatiu registrat al Padró [2024],Demografia y estructura social
15,Distribució percentual de població de nacionalitat estrangera d'Amèrica Central [2025],Demografia y estructura social
16,Distribució percentual de població de nacionalitat estrangera d'Amèrica del Nord [2025],Demografia y estructura social
17,Distribució percentual de població de nacionalitat estrangera de la Unió Europea [2025],Demografia y estructura social
18,Distribució percentual de població de nacionalitat estrangera Europea no UE [2025],Demografia y estructura social
19,Distribució percentual del nombre de turismes [2025],"Movilidad, seguridad y convivencia"
20,Distribució percentual del nombre de vehicles [2025],"Movilidad, seguridad y convivencia"
21,Edat mitjana de la població estrangera [2025],Demografia y estructura social
22,Edat mitjana de les dones [2025],Demografia y estructura social
23,Edat mitjana dels homes [2025],Demografia y estructura social
24,Edat mitjana dels turismes particulars [2025],"Movilidad, seguridad y convivencia"
25,Edat mitjana [2025],Demografia y estructura social
26,Grau de terciarització econòmica [2025],"Economia, renta y vulnerabilidad material"
27,Índex d'aloctonia estatal [2025],Demografia y estructura social
28,Índex de reemplaçament de la població en edat activa [2025],Demografia y estructura social
29,Índex de sobrenvelliment [2025],Demografia y estructura social
30,Índex demogràfic de dependència global [2025],Demografia y estructura social
31,Índex d'envelliment [2025],Demografia y estructura social
32,Índex d'estructura de la població en edat activa [2025],Demografia y estructura social
33,Mediana de la renda per unitat de consum [2023],"Economia, renta y vulnerabilidad material"
34,Nombre de turismes [2025],"Movilidad, seguridad y convivencia"
35,Nombre de vehicles [2025],"Movilidad, seguridad y convivencia"
36,Nombre d'habitatges [2025],"Vivienda, urbanismo y entorno construido"
37,Nombre mitjà de persones per full familiar [2025],Demografia y estructura social
38,Percentatge d' habitatges turístics. Dades fins a 2024 [2025],"Vivienda, urbanismo y entorno construido"
39,Percentatge de fulls familiars amb dos menors de 18 anys [2025],Demografia y estructura social
40,Percentatge de fulls familiars amb tres o més menors de 18 anys [2025],Demografia y estructura social
41,Percentatge de fulls familiars de 2 persones [2025],Demografia y estructura social
42,Percentatge de fulls familiars de 5 o més persones [2025],Demografia y estructura social
43,Percentatge de fulls familiars de només persones majors de 64 anys [2025],Demografia y estructura social
44,Percentatge de fulls familiars de només persones majors de 79 anys [2025],Demografia y estructura social
45,Percentatge de fulls familiars unipersonals [2025],Demografia y estructura social
46,Percentatge de població de nacionalitat estrangera [2025],Demografia y estructura social
47,Percentatge de turismes particulars de 10 i més anys [2025],"Movilidad, seguridad y convivencia"
48,Percentatge de turismes particulars de 16 i més CV [2025],"Movilidad, seguridad y convivencia"
49,Percentatge d'habitatges amb menys de 10 anys [2025],"Vivienda, urbanismo y entorno construido"
50,Percentatge d'habitatges amb menys de 5 anys [2025],"Vivienda, urbanismo y entorno construido"
51,Percentatge d'habitatges amb més de 50 anys [2025],"Vivienda, urbanismo y entorno construido"
52,Percentatge d'habitatges de menys de 60 metres quadrats [2025],"Vivienda, urbanismo y entorno construido"
53,Percentatge d'habitatges de menys de 80 metres quadrats [2025],"Vivienda, urbanismo y entorno construido"
54,Població de 18 anys o més amb nivell d'estudis de Batxillerat o superior [2025],Educacion
55,Població de 18 anys o més amb nivell d'estudis inferior a Batxillerat [2025],Educacion
56,Població emigrant [2024],Demografia y estructura social
57,Població immigrant [2024],Demografia y estructura social
58,Població resident (1) [2025],Demografia y estructura social
59,Població resident [2025],Demografia y estructura social
60,Proporció de població major de 64 anys [2025],Demografia y estructura social
61,Proporció d'immigrants de nacionalitat estrangera [2024],Demografia y estructura social
62,Relació de masculinitat de la població de nacionalitat estrangera [2025],Demografia y estructura social
63,Saldo net [2024],Demografia y estructura social
64,Superfície construïda mitjana dels habitatges [2025],"Vivienda, urbanismo y entorno construido"
65,Superfície d'aparcament per habitatge [2025],"Vivienda, urbanismo y entorno construido"
66,Superfície d'aparcament per turisme [2025],Otros
67,Superfície total de solars [2025],"Vivienda, urbanismo y entorno construido"
68,Taxa global de fecunditat registrada al Padró [2024],Demografia y estructura social
69,Valor cadastral mitjà per habitatge [2025],"Economia, renta y vulnerabilidad material"
70,Valor cadastral mitjà per metre quadrat [2025],"Economia, renta y vulnerabilidad material"
71,Variació anual de la població [2025],Demografia y estructura social
72,Centros educativos [n],Educacion
73,% centros publicos [actual],Educacion
74,% centros concertados [actual],Educacion
75,% centros privados [actual],"Movilidad, seguridad y convivencia"
76,Proyectos de innovacion social [n],"Servicios, equipamientos y bienestar"
77,Bancos en via publica [n],"Servicios, equipamientos y bienestar"
78,Asociaciones ayuda social discapacidad [n],"Servicios, equipamientos y bienestar"
79,Asociaciones ayuda social enfermedad mental [n],Demografia y estructura social
80,Asociaciones ayuda social mayores [n],"Servicios, equipamientos y bienestar"
81,Asociaciones ayuda social sintecho [n],"Servicios, equipamientos y bienestar"
82,Asociaciones ayuda social etnicas [n],"Servicios, equipamientos y bienestar"
83,Asociaciones ayuda social poblacion general [n],Demografia y estructura social
84,Asociaciones ayuda adicciones [n],"Servicios, equipamientos y bienestar"
85,Superficie zonas verdes [m2],Medio ambiente y calidad urbana
86,Velocidad maxima calles [media km_h],Otros
87,Barrio policial,"Movilidad, seguridad y convivencia"
88,Distrito policial,"Movilidad, seguridad y convivencia"
89,Hechos discriminatorios [n],"Movilidad, seguridad y convivencia"
90,Hechos discriminatorios - Genero [n],"Movilidad, seguridad y convivencia"
91,Hechos discriminatorios - LGTBIFobia [n],"Movilidad, seguridad y convivencia"
92,Hechos discriminatorios - Racismo [n],"Movilidad, seguridad y convivencia"
93,Trafico tramos - lectura media [actual],"Movilidad, seguridad y convivencia"
94,Trafico tramos - IMV media [actual],"Movilidad, seguridad y convivencia"
95,Itinerarios ciclistas - longitud total [m],"Movilidad, seguridad y convivencia"
96,Itinerarios ciclistas - tramos [n],"Movilidad, seguridad y convivencia"
97,Recursos sociales discapacidad fisica [n],"Servicios, equipamientos y bienestar"
98,Aparcamientos totales [n],"Movilidad, seguridad y convivencia"
99,Aparcamientos libres [n],"Movilidad, seguridad y convivencia"
100,Aparcamientos ORA [n],"Movilidad, seguridad y convivencia"
101,Aparcamientos vados [n],"Movilidad, seguridad y convivencia"
102,Aparcamientos parkings [n],"Movilidad, seguridad y convivencia"
103,Puntos WiFi [n],"Servicios, equipamientos y bienestar"
104,Programas de Actuacion Aislada [n],"Vivienda, urbanismo y entorno construido"
105,Programas de Actuacion Aislada - superficie total [m2],"Vivienda, urbanismo y entorno construido"
106,Ocupacion via publica - incidencias [n],"Vivienda, urbanismo y entorno construido"
107,Ocupacion via publica - duracion media [dias],"Vivienda, urbanismo y entorno construido"
108,Ocupacion via publica - acera [n],"Vivienda, urbanismo y entorno construido"
109,Ocupacion via publica - estacionamiento [n],"Vivienda, urbanismo y entorno construido"
110,Ocupacion via publica - calzada [n],"Vivienda, urbanismo y entorno construido"
111,Ocupacion via publica - peatonal [n],"Vivienda, urbanismo y entorno construido"
112,Superficie distrito agregada [m2],Otros
113,Superficie distrito agregada [km2],Otros
114,Vulnerabilidad equipamientos [indice],"Servicios, equipamientos y bienestar"
115,Vulnerabilidad demografia [indice],Demografia y estructura social
116,Vulnerabilidad economia [indice],Otros
117,Vulnerabilidad global [indice],Otros
118,Fuentes [n],Medio ambiente y calidad urbana
119,Fuentes agua filtrada y refrigerada [n],Medio ambiente y calidad urbana
120,Zonas de actividades [n],"Vivienda, urbanismo y entorno construido"
121,Colecaminos - tramos [n],"Movilidad, seguridad y convivencia"
122,Colecaminos - longitud total [m],"Movilidad, seguridad y convivencia"
123,Arbolado [n],Medio ambiente y calidad urbana
124,Hidrantes [n],Medio ambiente y calidad urbana
125,ValenBisi - estaciones [n],"Movilidad, seguridad y convivencia"
126,ValenBisi - bicis disponibles [media],"Movilidad, seguridad y convivencia"
127,Zonas acusticamente saturadas [n],Medio ambiente y calidad urbana
128,Ruido Lden [media],Medio ambiente y calidad urbana
129,IBI - media Num. Recibos Actv. Comercial,"Economia, renta y vulnerabilidad material"
130,IBI - media Num. Recibos Actv. Residencial,"Economia, renta y vulnerabilidad material"
131,IBI - media Num. Recibos totales,"Economia, renta y vulnerabilidad material"
132,IBI - media Imp. Recibos Actv. Comercial,"Economia, renta y vulnerabilidad material"
133,IBI - media Imp. Recibos Actv. Residencial,"Economia, renta y vulnerabilidad material"
134,IBI - media Importe Recibos totales,"Economia, renta y vulnerabilidad material"
135,IAE - media Numero recibos actividad empresarial,"Economia, renta y vulnerabilidad material"
136,IAE - media Numero recibos totales,"Economia, renta y vulnerabilidad material"
137,IAE - media Importe recibos actividad empresarial,"Economia, renta y vulnerabilidad material"
138,IAE - media Importe recibos totales,"Economia, renta y vulnerabilidad material"
139,IVTM - media Recibos Camion,"Economia, renta y vulnerabilidad material"
140,IVTM - media Recibos Turismo,"Economia, renta y vulnerabilidad material"
141,IVTM - media Recibos Totales,"Economia, renta y vulnerabilidad material"
142,"IVTM - media Importe Rec, Turismos","Economia, renta y vulnerabilidad material"
143,"IVTM - media Importe Rec, Totales","Economia, renta y vulnerabilidad material"
144,Manzanas catastrales [n],"Economia, renta y vulnerabilidad material"
145,Contaminacion - Ruido(dBA) [media],Medio ambiente y calidad urbana
146,Area escolar secundaria [zona],Educacion
147,INE - Renta media por persona [EUR distrito],"Economia, renta y vulnerabilidad material"
148,INE - Renta media por hogar [EUR distrito],"Economia, renta y vulnerabilidad material"
149,INE - Media renta por unidad de consumo [EUR distrito],"Economia, renta y vulnerabilidad material"
150,INE - Mediana renta por unidad de consumo [EUR distrito],"Economia, renta y vulnerabilidad material"
151,INE - Fuente ingresos salario [% distrito],"Economia, renta y vulnerabilidad material"
152,INE - Fuente ingresos pensiones [% distrito],"Economia, renta y vulnerabilidad material"
153,INE - Fuente ingresos prestaciones desempleo [% distrito],"Economia, renta y vulnerabilidad material"
154,INE 2023 demograficos | Tamaño medio del hogar [distrito],Demografia y estructura social
155,INE 2023 demograficos | Población [distrito],Demografia y estructura social
156,INE 2023 demograficos | Porcentaje de población de 65 y más años [distrito],Demografia y estructura social
157,INE 2023 demograficos | Porcentaje de población española [distrito],Demografia y estructura social
158,INE 2023 demograficos | Porcentaje de población menor de 18 años [distrito],Demografia y estructura social
159,INE 2023 desigualdad | Índice de Gini [distrito],"Economia, renta y vulnerabilidad material"
160,INE 2023 desigualdad | Distribución de la renta P80/P20 [distrito],"Economia, renta y vulnerabilidad material"
161,Parados marzo 2024 [distrito],"Economia, renta y vulnerabilidad material"
162,% parados sobre total Valencia marzo 2024 [distrito],Otros
163,"Educacion primaria [% distrito, mayores 15, censo 2022]",Educacion
164,"Educacion superior [% distrito, mayores 15, censo 2022]",Educacion
165,Anuario 2021 vivienda | establecimiento colectivo [% distrito],"Vivienda, urbanismo y entorno construido"
166,Anuario 2021 vivienda | superficie por ocupante <20m2 [% distrito],"Vivienda, urbanismo y entorno construido"
167,Anuario 2021 vivienda | superficie por ocupante 20-40m2 [% distrito],"Vivienda, urbanismo y entorno construido"
168,Anuario 2021 vivienda | superficie por ocupante 80+m2 [% distrito],"Vivienda, urbanismo y entorno construido"
169,Anuario 2021 educacion | analfabetas [% distrito 16+],Educacion
170,Anuario 2021 educacion | primarios incompletos [% distrito 16+],Educacion
171,Anuario 2021 estado civil | solteras [% distrito],Demografia y estructura social
172,Anuario 2021 estado civil | casadas [% distrito],Demografia y estructura social
173,Anuario 2021 estado civil | viudas [% distrito],Demografia y estructura social
174,Anuario 2021 estado civil | separadas o divorciadas [% distrito],Demografia y estructura social
175,Anuario 2021 actividad | ocupada [% distrito 16+],"Economia, renta y vulnerabilidad material"
176,Anuario 2021 actividad | parada [% distrito 16+],"Economia, renta y vulnerabilidad material"
177,Anuario 2021 actividad | jubilacion o prejubilacion [% distrito 16+],"Economia, renta y vulnerabilidad material"
178,Anuario 2021 situacion profesional | cuenta propia [% ocupadas distrito],"Economia, renta y vulnerabilidad material"
179,Anuario 2021 situacion profesional | cuenta ajena fija [% ocupadas distrito],"Economia, renta y vulnerabilidad material"
180,Anuario 2021 situacion profesional | cuenta ajena temporal [% ocupadas distrito],"Movilidad, seguridad y convivencia"
181,Anuario 2021 lugar trabajo | mismo municipio [% ocupadas distrito],"Economia, renta y vulnerabilidad material"
182,Anuario 2021 lugar trabajo | distinta provincia o comunidad [% ocupadas distrito],"Economia, renta y vulnerabilidad material"
183,Poblacion distrito [anuario 2021],Demografia y estructura social
184,Encuesta demografica 2024 | Tasa bruta de natalidad,Demografia y estructura social
185,Encuesta demografica 2024 | Tasa bruta de inmigracion intraurbana,Demografia y estructura social
186,Encuesta demografica 2024 | Tasa bruta de inmigracion interurbana,Demografia y estructura social
187,Encuesta demografica 2024 | Tasa bruta de mortalidad,Demografia y estructura social
188,Encuesta demografica 2024 | Tasa bruta de emigracion intraurbana,Demografia y estructura social
189,Encuesta demografica 2024 | Tasa bruta de emigracion interurbana,Demografia y estructura social
190,Encuesta demografica 2024 | Esperanza de vida al nacimiento [total],Demografia y estructura social
191,Encuesta demografica 2024 | Esperanza de vida al nacimiento [hombres],Demografia y estructura social
192,Encuesta demografica 2024 | Esperanza de vida al nacimiento [mujeres],Demografia y estructura social
193,Encuesta demografica 2025 | Relacion de masculinidad,Demografia y estructura social
194,Encuesta demografica 2025 | Razon de progresividad demografica,Demografia y estructura social
195,Encuesta superficie distrito [ha],Otros
196,Encuesta superficie distrito [m2],Otros
197,Encuesta superficie distrito [km2],Otros
198,Padron 2025 | Superficie [ha],Otros
199,Padron 2025 | Poblacion,Demografia y estructura social
200,Padron 2025 | Densidad poblacion [hab/km2],Demografia y estructura social
201,Padron 2024 | Poblacion,Demografia y estructura social
202,Padron 2025 | Variacion interanual poblacion [%],Demografia y estructura social
203,Padron 2025 edad | 0-14 [%],Demografia y estructura social
204,Padron 2025 edad | 65+ [%],Demografia y estructura social
205,Padron 2025 nacimiento | Extranjero [%],Demografia y estructura social
206,Padron 2025 extranjera | Africa [% extranjera],Otros
207,Padron 2025 extranjera | America Sur [% extranjera],Otros
208,Padron 2025 extranjera | Asia [% extranjera],Otros
209,Padron 2025 titulacion 18+ | Inferior a graduado escolar [%],Otros
210,Padron 2025 titulacion 18+ | Bachiller FP2 o superior [%],Educacion
211,Economia 2025 | Oficinas bancarias [n],"Economia, renta y vulnerabilidad material"
212,Economia 2025 | Oficinas bancarias [por_10000_hab],"Economia, renta y vulnerabilidad material"
213,Economia 2024 | Terrazas hosteleria [superficie_m2],"Economia, renta y vulnerabilidad material"
214,Economia 2024 | Terrazas anuales [n],"Economia, renta y vulnerabilidad material"
215,Economia 2024 | Terrazas temporada [n],"Movilidad, seguridad y convivencia"
